LCC,Yr.,Title
B1618.C23 E6 1892,1892 H,Essays on Literature and Philosophy
B1624 .M663 1992,1992,Care of the Soul
B1624 .M663 1992,1992,Care of the Soul
B1626 .D53 H8 1958,1958,The Human Situation
B1626 .D53 H8 1958,1958,The Human Situation
B1647.M133 F63 1957,1957 H,The Self as Agent: The Gifford Lectures
B165 .H9,1973,The Origins Of Philosophy: from Myth to Meaning
B165 .H9,1973,The Origins Of Philosophy: from Myth to Meaning
B1658 .U5 L8,1895,Agnosticism and Religion
B1658 .U5 L8,1895,Agnosticism and Religion
B171 .A78 1966,1966,An Intorduction to Ancient Philosophy
B171 .A78 1966,1966,An Intorduction to Ancient Philosophy
B171 .B78 1982,1982,The Philosophers of Greece
"B171 .B78 1982
",1982,The Philosophers of Greece
B171 .B85 1968,1968,Greek Philosophy
B171 .B85 1968,1968,Greek Philosophy
B171 .C7 1962,1962,Before and After Socrates
B171 .C7 1962,1962,Before and After Socrates
B171 .G74 1985,1985,Greek Philosophy: Thales to Aristotle
B171 .G74 1985,1985,Greek Philosophy: Thales to Aristotle
B171 .G74 1985,1985,Greek Philosophy: Thales to Aristotle
B171 .G74 1985,1985,Greek Philosophy: Thales to Aristotle
B171 .G74 1991,1991,Greek Philosophy Thales to Aristotle
B171 .G8 1975,1975,the Greek Philosophers: form Thales to Aristotle
B171 .G8 1975,1975,the Greek Philosophers: form Thales to Aristotle
B171 .G83 1962,1965,A History of Greek Philosophy II: the Presocratic Tradition from Parmenides to Democritus
B171 .G83 1962,1965,A History of Greek Philosophy II: the Presocratic Tradition from Parmenides to Democritus
B171 .J65 1987,1987,"Western Philosophy"": from antiquity to the middle ages"
B171 .R39 1995,1995,Readings in Ancient Greek Philosophy: From Thales to Aristotle
B171 .R39 1995,1995,Readings in Ancient Greek Philosophy: From Thales to Aristotle
B1837 .B3,1961,Essential Works of Descartes
B1848 .E5 C73,1998,Discourse on Method and Meditations on First Philosophy
B1848 .E5 L3,1960,Discourse on Method and Meditations
B1873 .C25 2005,2005,The Cambridge Companion to Descartes
B1873 .C25 2005,2005,The Cambridge Companion to Descartes
B1875 .C63,1967,The Continental Rationalists
B1875 .D3615 1998,1998,Oxford Readings in Philosophy: Descartes
B1875 .D3615 1998,1998,Oxford Readings in Philosophy: Descartes
B1875 .D6,1967,Descartes: A Collection of Critical Essays
B1875 .D6,1967,Descartes: A Collection of Critical Essays
B1875 .S47,1965,Meta-Meditations
B1875 .W56 1978b,1978,Descartes: The Project of Pure Enquiry
B1875 .W56 1978b,1978,Descartes: The Project of Pure Enquiry
B1875 .W58,1996,Descartes
B1875 .W58,1996,Descartes
B1901 .P413 1995,1995,Pensees and other Writings
B21 .A2,1965,History of Philosophy: Selected readings
B21 .A2,1965,History of Philosophy: Selected readings
B21 .A45 1967,1967 H,The Problems of Philosophy: Introductory Readings
B21 .B56 2003,2003 P,The Blackwell Companion to Philosophy
B21 .C557 1998,1998,Class of Philosophy
B21 .C557 1998,1998,Class of Philosophy
B21 .E23 1973,1973 P,Coming of Age in Philososphy
B21 .E55,1967,The Process of Philosophy: a Historical Introduction
B21 .E55,1967,The Process of Philosophy: a Historical Introduction
B21 .F55,1971,"Body, Mind and Death"
B21 .F55,1971,"Body, Mind and Death"
B21 .F55 1966,1966,"Body, Mind, and Death"
B21 .K65 1997,1998,The Mayfield Anthology of Western Philosophy
B21 .K65 1997,1998,The Mayfield Anthology of Western Philosophy
B21 .L5 1997,1997 H,Discovering Philosophy
B21 .M6,1963,"Philosophy, Religion, and Science"
B21 .M6,1963,"Philosophy, Religion, and Science"
