LCC,Yr.,Title
BC108 .C69 1968,1968 P,Solutions to Exercises in Introduction to Logic
BC108 .C69 1968a,1968 H,Introduction to Logic
BC108 .C69 1968b,1968 P,Study Guide for Copi: Introduction to Logic
BC108 .E3 1959,1959 P,General Logic
BC108 .H83 2003,2003 H,"Concise Introduction to Logic, A"
BC108 .K3 1969,1969 H,Logic and Philosophy
BC108 .S2 1966,1963 P,Logic
BC108 .S2 1966,1963 P,Logic
BC108 .S83,1939 P,Thinking to Some Purpose
BC108 .S83 1931,1931 P,A Modern Introduction to Logic
BC108 .T48 1939,1939 P,How to Think Straight: The Technique of Applying Logic Instead of Emotion
BC108 .T55 2003,2003 H,A Modern Intro to Logic and Philosophy
BC135 .C316 1995,1995 P,An Introduction to the Philosophy of Science
BC135 .C344 1960,1960 H,Introduction to Symbolic Logic
BC135 .C58 1979,1979 H,Symbolic Logic
BC135 .L5 1947,1947 H,"Mits, Wits and Logic"
BC135 .Q48 1962,1962 P,Mathematical Logic
BC135 .Q485,1966,Selected Logic Papers
BC135 .Q485,1966,Selected Logic Papers
BC135 .W37 1969,1969,An Examination of Logical Positivism
BC135 .W37 1969,1969,An Examination of Logical Positivism
BC15 .K55,1962,The Development of Logic
BC15 .K55,1962,The Development of Logic
BC15 .S313,1961,Concise History of Logic
BC15 .S313,1961,Concise History of Logic
BC171 .B58 2005,2005,Truth: a Guide
BC171 .B58 2005,2005,Truth: a Guide
BC175 .K25 1984,1984 P,Logic and Contemporary Rhetoric: The Use of Reason in Everyday Life
BC177 .B45 1996,1996 P,The Critical Thinking Handbook
BC177 .C67 2000,2000 P,The Elements of Reasoning
BC177 .E66 1996,1996 P,Critical Thinking
BC177 .M3 1967,1967 P,Analyzing Philosophical Arguments
BC177 .O4 1969,1969 H,Meaning and Argument: Elements of Logic
BC177 .S37 1976,1976 P,Reasoning
BC177 .T495 1991,1991 P,Argument Evaluation
BC177 .T495 1991,1991 P,Argument Evaluation
BC177 .W743 1989,1989 P,Practical Reasoning
BC181 .G58 1965,1965 P,"Fact, Fiction, and Forecast"
BC181 .G58 1965,1965,"Fact, Fiction, and Forecast"
BC198 .G35 1989,1989 H,Logic: Analyzing and Appraising Arguments
BC199 .M6 L54,1971,Reference and Modality
BC199 .M6 L54,1971,Reference and Modality
BC199 .M6 P66,1979 P,The Possible and the Actual: Readings in the Metaphysics of Modality
BC199 .P2 S67 2003,2003 H,A Brief History of the Paradox Philosophy and the Labyrinths of the Mind
BC50 .F63 1991,1991 P,Understanding Arguments: An Introduction to Informal Logic
BC51 .Q5 1970,1970 P,Philosophy of Logic
BC6 .C58 1967,1967 P,Contenporary Readings in Logical Theory
BC6 .C6 1968,1968 P,Readings on Logic
BC6 .I8 1968,1968 P,Logic and Philosophy: Selected Readings
BC61 .L28 2002,2002 H,The Power of Logic
BC71 .A6 1962,1962 H,Natural Deduction
BC71 .B321950,1950 P,Thinking Straight: Principles of Reasoning for Readers and Writers
BC71 .C68 1996,1996 P,Informal Logic
BC71 .D981 1966,1966 P,Logics: An Introduction with Exercizes
BC71 .D981 1966,1966 P,Logics: An Introduction with Exercizes
BC71 .I8 1968,1968 P,An Introduction to Deductive Logic
BC71 .Q48 1980,1980 P,From a Logical Point of View: Nine Logico-Philosophical Essays
BC71 .Q5 1958,1958 H,Methods of Logic
BC71 .S25,1995 H,Introduction to Logic and Critical Thinking
BC71 .T42 1989,1989 P,"A Modern Formal Logic Primer: Sentence Logic, Vol. I"
BC91 .W932 1960,1960 P,Treatise on Induction and Probability
BC91 .W932 1960,1960 P,Treatise on Induction and Probability
BD111 .B3,1965 P,Metaphysics
BD111 .B3,1965 P,Metaphysics
BD111 .C6 1972,1972 P,Essay on Metaphysics
BD111 .C626 1995,1995 P,A Companion to Metaphysics
BD111 .D43 1995,1995 H,Being and Between
BD111 .E5,1957 H,The Nature of Metaphysical Thinking
BD111 .J83 1998,1998 P,Contemporary Metaphysics: An Introduction
BD111 .R23 1990,1990 P,Reality in Focus
BD111 .S573 1998,1998 P,On the Origin of Objects
BD111 .S64,1970 P,Problems of Metaphysics
BD111 .S78 1963,1963 P,Individuals: An Essay in Descriptive Metaphysics
BD111 .T3 1992,1992 P,Metaphysics
BD111 .W29,1963,Metaphysics
BD111 .W29,1963,Metaphysics
BD111 .W39,1971 P,"Metaphysics: Problems in Philosophical Inquiry, Vol. II"
BD111 .W39 1971,1971 P,"Metaphysics: Problems in Philosophical Inquiry, Vol. II"
BD111 .W39 1971,1971 P,"Metaphysics: Problems in Philosophical Inquiry, Vol. II"
BD111 .W52,1969 P,Metaphysics: An Introduction to Philosophy
BD143 .A55,1970 P,"Belief, Knowledge, and Truth: Readings in the Theory of Knowledge"
BD143 .A55,1970 P,"Belief, Knowledge, and Truth: Readings in the Theory of Knowledge"
BD143 .Y6,1965 P,Theory of Knowledge
BD161 .B32 1979,1979,Mind and Nature: A Necessary Unity
BD161 .B32 1979,1979,Mind and Nature: A Necessary Unity
BD161 .C42,1962,The Philosophy of Mind
BD161 .C42,1962,The Philosophy of Mind
BD161 .C48,1966 P,Theory of Knowledge
BD161 .C48 1977,1977,Theory of Knowledge
BD161 .C74 1999,1999 P,An Introduction to Epistemology
BD161 .D27 1988,1989,Historicism and Knowlege
BD161 .D27 1988,1989,Historicism and Knowlege
BD161 .D29 1989,1989 P,Introduction to Contemporary Epistemology
BD161 .D4 1929,1929,The Quest for Certainty
BD161 .I86 1989,1989,Issues in Evolutuionary Epistemology
BD161 .I86 1989   ,1989,Issues in Evolutuionary Epistemology
BD161 .K585 2004,2004 P,Knowledge and Reality: Classic and Contemporary Readings
BD161 .K6 1959,1959 P,Conceptual Thinking: A Logical Enquiry
BD161 .L38 1956,1956 P,Mind and the World Order: Outline of a Theory of Knowledge
BD161 .P72,1965,The Study of Man
BD161 .P72,1965,The Study of Man
BD161 .P89,1981,Psychology and the Philosophy of Mind in the Philosophy Cirriculum
BD161 .P89,1981,Psychology and the Philosophy of Mind in the Philosophy Cirriculum
BD161 .R3415 1999,1999 P,Readings in Epistemology
BD161 .T4 1971,1971 P,"Theory of Knowledge: Problems in Philosophical Inquiry, Vol. I"
BD161 .T65,1972,Human Understanding
BD1616 .B245 1995,1995 P,Epistemology: Theory of Knowledge
BD1616 .B245 1995,1995 P,Epistemology: Theory of Knowledge
BD162 .L913 1984,1984,The Postmodern Condition: A Report on Knowledge
BD171 .A24 1984,1984,Six Great Ideas
BD171 .A24 1984,1984,Six Great Ideas
BD171 .A24 1984,1984,Six Great Ideas
BD171 .P875,1981,"Reason, Truth and History"
BD171 .R8 1994,1994,By the Grace of Guile
BD171 .R8 1994,1994,By the Grace of Guile
BD171 .R8 1994,1994,By the Grace of Guile: the Role of Deceiption in Natural History and Human Affairs
BD171 .R8 1994,1994,By the Grace of Guile: the Role of Deceiption in Natural History and Human Affairs
BD171 .W48,1970,Truth
BD171 .W48,1970,Truth
BD175 .B4 1967,1967 P,The Social Construction of Reality: A Treatise in the Sociology of Knowledge
BD175 .G64 1999,1999 H,Knowledge in a Social World
BD175 .G813 1971b,1972 P,The Social Frameworks of Knowledge
BD175 .H28 1998,1998,Manifesto of a Passionate Moderate
BD175 .H28 1998,1998,Manifesto of a Passionate Moderate
BD175 .L665 2002,2002 P,The Fate of Knowledge
BD18.3 .K54 2006,2006,Philosophy of Mind
BD18.3 .K54 2006,2006,Philosophy of Mind
BD21 .B24 1953,1953 H,"Philosophy, An Introduction"
BD21 .B28,2001 P,Open Questions
BD21 .B338 1972,1972 P,Invitation to Philosophical Thinking
BD21 .B47 1999,1999,Think: a compelling introduction to philosophy
BD21 .B47 1999,1999,Think: a compelling introduction to philosophy
BD21 .B74 1974,1974 P,"Self, Society, and the Search for Transcendence: An Introduction to Philosophy"
BD21 .C56,2003,Philosophy: An Introduction to the Art of Wondering
BD21 .C56 1986a,1986 O,Instructor's Manual to Philosophy: An Introduction to the Art of Wondering
BD21 .C56 1986b,1986 O,Philosophy: An Introduction to the Art of Wondering
BD21 .C594 1998,1998 P,Classic Philosophical Questions
BD21 .C85 1984,1984,A Cultural Introduction to Philosophy: from Antiquity to Descartes
BD21 .C85 1984,1984,A Cultural Introduction to Philosophy: from Antiquity to Descartes
BD21 .E27 1992,1992 P,Introduction to Philosophy
BD21 .E4,1962 H,A Modern Introduction to Ethics
BD21 .E4 1962,1962 H,A Modern Introduction to Ethics
BD21 .E4 1962,1962 H,A Modern Introduction to Ethics
BD21 .E5 1968,1968 P,Learning to Philosophize
BD21 .E6 1987,1987 P,The Study of Philosophy
BD21 .E85 1966,1966 P,The Fundamental Questions of Philosophy
BD21 .E96 2005,2005 P,Exploring Philosophy: An Introductory Anthology
BD21 .E96 2005a,2005 P,Exploring Philosophy: An Introductory Anthology
BD21 .F59,1971,An Introduction to Western Philosophy: Ideas and Argument from Plato to Sartre
BD21 .F59,1971,An Introduction to Western Philosophy: Ideas and Argument from Plato to Sartre
BD21 .F67,1972 P,Human Fundamentals
BD21 .F73 1962,1962,Basic Teachings of the Great Philosophers
BD21 .H22 1996,1996,Historical Introduction to Philsosophy
BD21 .H22 1996,1996,Historical Introduction to Philsosophy
BD21 .H645 2002,2002 P,Invitation to Philosophy: Issues and Options
BD21 .I26 1994,1994 P,Through Time and Culture: Introductory Readings in Philosophy
BD21 .I54 1999,1999 P,Introduction to Philosophy: Classical and Contemporary Readings
BD21 .I585 1997,1997 P,Introduction to World Philosophies
BD21 .K46 2000,2000 P,Learning to Philosophize: A Primer
BD21 .K63 1997,1998,From the Presocratics to the Present: A Personal Odyssey
BD21 .K63 1997,1998,From the Presocratics to the Present: A Personal Odyssey
BD21 .K64,2001 P,Lovers of Wisdom: A Introduction to Philosophy
BD21 .K65 1991,1991 P,Wisdom without Answers: A Guide to the Experience of Philosophy
BD21 .L19 1990,1990 P,"God, Immortality, Ethics"
BD21 .L36 2003,2003 O,The Philosophical Journey: An Interactive Approach
BD21 .M228 1999,1999 P,A Student's Guide to Philosophy
BD21 .M34 2006b,2006,The Great Conversation: A Historical Introduction to Philosophy Fifth Ed.
BD21 .M34 2006b,2006,The Great Conversation: A Historical Introduction to Philosophy Fifth Ed.
BD21 .M34 2007,2007,the Instructor's Manuel and Test Question to Accompany The Great Conversation: A Historical Introduction to Philosophy Fifth Ed.
BD21 .M34 2007,2007,the Instructor's Manuel and Test Question to Accompany The Great Conversation: A Historical Introduction to Philosophy Fifth Ed.
BD21 .M43 1995,1995 P,Instructor's Manual to AccompanyThe Great Conversation: A Historical Introduction to Philosophy
BD21 .M43 1999,1999 H,The Great Conversation: A Historical Intoriduction to Philosophy
BD21 .M46 2004,2004 H,Questions That Matter: An Invitation to Philosophy
BD21 .M46 2006,2006 P,Questions That Matter: An Invitation to Philosophy
BD21 .M62 1999,1999 P,Instructor's Manual to Philosophy: The Power of Ideas
BD21 .M62 1999,1999 H,Philosophy: The Power of Ideas
BD21 .M62 1999a,1999 H,Instructor's Manual to Accompnay Philosophy: The Power of Ideas
BD21 .M645,1992 P,Making Sense of It All: Pascal and the Meaning of Life
BD21 .M661 1999,1999 P,Study Guide to Accompany Philosophy: the Power of Ideas
BD21 .M85 1979,1979 H,The Ways of Philosophy
BD21 .N24 1987,1987 P,What Does It All Mean? A Very Short Introduction to Philosophy
BD21 .N25 1967,1967 P,An Introduction to Philosophy
BD21 .O73 1900,1900 H,Foundations of Knowledge
BD21 .O73 1900,1900 H,Foundations of Knowledge
BD21 .P3,1949 H,Elements of Analytic Philosophy
BD21 .P467 2003,2003 P,Philosophical Questions:Classical and Contemporary Readings
BD21 .P4675 2005,2005 H,Philosophical Questions
BD21 .P468 1995,1995 P,Philosophy: A Guide through the Subject
BD21 .P4685 1997,1997 P,Instructors Manual to Accompany Philosophy and Choice
BD21 .P4685 1997,1997 P,Instructors Manual to Accompany Philosophy and Choice
BD21 .P4685 1999,1999 P,Philosophy and Choice
BD21 .P48,2002,Philosophy: The Quest for Truth
BD21 .P48 1992,1992 P,Philosophy: The Quest for Truth
BD21 .P6 1993,1993,Philosophy Made Simple
BD21 .P6 1993,1993,Philosophy Made Simple
BD21 .R44 1993,1993 P,Reflections on Philosophy: Introductory Essays
BD21 .R635 1999,1999,Roots of Wisdom
BD21 .R635 1999,1999,Roots of Wisdom
BD21 .R644 1996,1996 P,The Practice of Philosophy: A Handbook for Beginners
BD21 .S34 2003,2003 H,Doing Philosophy: An Introduction through Thought Experiments
BD21 .S615 1995,1995 H,Core Questions in Philosophy: A Text with Readings
BD21 .S616 1994,1995 O,Archetypes of Wisdom: An Introduction to Philosophy
BD21 .S616 2001,2001 O,Archetypes of Wisdom: An Introduction to Philosophy (Instructor's Edition)
BD21 .S62 1982,1982,The Big Questions: A Short Introduction to Philosophy
BD21 .S62 1986,1986 P,The Big Questions: A Short Introduction to Philosophy
Bd21 .S62 1998,1998,The Big Questions: A Short Introduction to Philosophy
BD21 .S629 2005,2005 P,Introducing Philosophy: A Text with Integrated Readings
BD21 .S64 1984,1984 P,Elements of Philosophy
BD21 .S76,1973 P,The Forum of Philosophy: An Introduction to Problem and Process
BD21 .S77 1987,1987 O,Fundamentals of Philosophy (w/ Instructor's Manual)
BD21 .S825 1986,1986 H,Elements of Philosophy: An Introduction
BD21 .T46 1985,1985 H,Philosophy: Theory and Practice
BD21 .T65,1971 H,A Critical Preface to Philosophy
BD21 .T67,1986 H,The Tradition of Philosophy
BD21 .V59 2001,2001 P,Voices of Wisdom: A Multicultural Philosophy Reader
BD21 .W34 1999,1999 P,Philosophy: Basic Readings
BD21 .W37,1971,Philosophy of Religion: Problems in Philosophical Inquiry vol 4
BD21 .W37,1971,Philosophy of Religion: Problems in Philosophical Inquiry vol 4
BD21 .W37 1971,1971 H,Problems in Philosophical Inquiry
BD21 .W38 1971,1971 P,"Theory of Knowledge: Problems in Philosophical Inquiry, Vol. I"
BD21 .W38 1971,1971 P,"Theory of Knowledge: Problems in Philosophical Inquiry, Vol. I"
BD21 .W45 1954,1954 H,The Way of Philosophy
BD21 .W47 1996,1996 P,Discovering Philosophy
BD21 .W475,1972 H,Philosophy: An Introduction
BD21 .W64 1986,1989 P,Study Guide and Workbook to About Philosophy
BD21 .W64 2006,1998 H,About Philosophy
BD21 I54 2004/8+A22,2004 P,Introduction to Philosophy: Classical and Contemporary Readings
BD21 M62 1999,1999 P,Study Guide to Accompany Philosophy: the Power of Ideas
BD215 .B65,1975,A Sociology of Belief
BD215 .B65,1975,A Sociology of Belief
BD215 .J45 2009,2009,God's Advocate: and the trials of faith versus reason
BD215 .J45 2009,2009,God's Advocate: and the trials of faith versus reason
BD215 .L4,1982,Knowledge
BD215 .Q5,1970,The Web of Belief
BD215 .Y46,2006,This I believe
BD216 .T47 2003,2003,Hope Dies Last
BD220 .S2,1967,Science and Subjectivity
BD221 .G53 1983,1983 P,When in Rome: An Introduction to Relativism and Knowledge
BD221 .H36 1996,1998,Varieties of Relativism
BD222 .P66,1972,Towards Deep Subjectivity
BD23 .J313,1954,Way to Wisdom
BD232 .B33 1984,1984 P,Ethics: The Science of Oughtness
BD232 .B33 1984,1984 P,Ethics: The Science of Oughtness
BD232 .H26 1952,1952 H,What is Value?: An Essay in Philosophical Analysis
"BD232 .H26 1952
",1952 H,What is Value?: An Essay in Philosophical Analysis
BD232 .L48 1990,1990 P,A Question of Values: Six Ways We Make the Personal Choices That Shape Our Lives
BD232 .L48 1990,1990 P,A Question of Values: Six Ways We Make the Personal Choices That Shape Our Lives
BD241 .P44 1980,1980 H,Philosophical Style
BD241 .P65 1989,1989 P,Conjectures and Refutations: The Growth of Scientific Knowledge
BD31 .B38 1975,1975 P,Perspectives in Philosophy
BD31 .D185,1987 P,"Philosophy: An Introduction Through Original Fiction, Discussion, and Readings"
BD31 .P56 2001,2001 P,Socrates Café: A Fresh Taste of Philosophy
BD31 .R32 1969,1969 H,The Enduring Questions: Main Problems of Philosophy
BD31 .S65 1959,1959 H,Knowledge and Value
BD31 .T5,1964 H,Living Issues In Philosophy
BD31 .T5 1986,1986 H,Living Issues In Philosophy
BD331 .G56,1978,Ways of Worldmaking
BD331 .H4313,1959,An Introduction to Metaphysics
BD331 .H4313,1961,An Introduction to Metaphysics
BD331 .H4313,1959,An Introduction to Metaphysics
BD331 .S28,1957 H,In Search of Reality
BD331 .S396,1969,Experience and Being
BD336 .M67 2013,2013,Hyperobjects: Philosophy and Ecology after the End of the World
BD38.D3 H6 1906,1906 H,The Problems of Philosophy
BD41 .C53 1987,1987 H,Introduction to Philosophical : Readings & Comentary
BD41 .P47 1996,1996 P,Philosophy and Contemporary Issues
BD41 .P47 1999,1999,Philosophy and Contemporary Issues
BD41 .P47 1999,1999,Philosophy and Contemporary Issues
BD41 .P472 1984,1984 P,Philosophy and Contemporary Problems: A Reader
BD41 .W5,1929,The Function of Reason
BD418.3 .C435 2002,2002,Philosophy of Mind: classical and contemporary readings
BD418.3 .C435 2002,2002,Philosophy of Mind
BD418.3 .C435 2002,2002,Philosophy of Mind: classical and contemporary readings
BD418.3 .C435 2002,2002,Philosophy of Mind
BD418.3 .G88 2000,2000,Mind's Landscape
BD418.3 .G88 2000,2000,Mind's Landscape: and introduction to the philosophy of mind
BD418.3 .G88 2000,2000,Mind's Landscape
BD418.3 .G88 2000,2000,Mind's Landscape: and introduction to the philosophy of mind
BD418.3 .J34 1994,1994,Philosophy of Mind
BD418.3 .J34 1994,1994,Philosophy of Mind
BD418.3 .P45 1992,1992,The Philosophy of the Mind
BD418.3 .P45 1992,1992,The Philosophy of the Mind
BD418.3 .P45 1992,1992,"The Philosophy of Mind: Classical Problems, Contemporary Issues"
BD418.3 .P45 1992,1992,"The Philosophy of Mind: Classical Problems, Contemporary Issues"
BD418.3 .S43 1992,1992,The Rediscovery of the Mind
BD418.3 .S43 1992,1992,The Rediscovery of the Mind
BD418.3 .T35 1999,1999,The Explicit Animal: a Defence of Human Consciousness
BD418.3 .T35 1999,1999,The Explicit Animal: a Defence of Human Consciousness
BD421 .D6 1967,1967,Philosophical Anthropology
BD421 .D6 1967,1967,Philosophical Anthropology
BD431 .B387 2005,2005,10 good questions about life and death
BD431 .B387 2005,2005,10 good questions about life and death
BD431 .D846 1975,1975,Time and Myth
BD431 .E14 2008,2007,The Meaning of Life: a Very Short Introduction
BD431 .E14 2008,2007,The Meaning of Life: a Very Short Introduction
BD431 .E14 2008,2007,The Meaning of Life: a Very Short Introduction
BD431 .F677,1958,The Rediscovery of Man
BD431 .F677,1958,The Rediscovery of Man
BD431 .F85 1988,1989 P,It Was on Fire When I Lay Down on It
BD431 .F86 1989,1988 P,All I Really Need to Know I Learned in Kindergarten: Uncommon Thoughts on Common Things
BD431 .F87 1991,1991 H,Uh-Oh: Some Observations from Both Sides of the Refrigerator Door
BD431 .H24 1992,1992 P,On the Side of Life: A New Worldview and the Ethic for an Optimal Way of Life
BD431 .H24 1992,1992 P,On the Side of Life: A New Worldview and the Ethic for an Optimal Way of Life
BD431 .H24 1992  ,1992 P,On the Side of Life: A New Worldview and the Ethic for an Optimal Way of Life
BD431 .L418 2004,2004,"Life, Death, and Meaning"
BD431 .L418 2004,2004,"Life, Death, and Meaning"
BD431 .M338,1975,Negativities
BD431 .M338,1975,Negativities
BD431 .M4688 2000,2000,The Meaning of Life
BD431 .M4688 2000,2000,The Meaning of Life
BD431 .M469,1980,The Meaning of Life
BD431 .M469,1980,The Meaning of Life
BD431 .P424 1976,1976 P,Personal Philosophy: Perspectives on Living
BD431 .P5 1964,1964 H,Realms of Meaning: A Philosophy of the Curriculum for General Education
BD435 .L52 1978,1978 P,Gift from the Sea
BD435 .W75 v.1,2008,Rethinking Philosophy Today: KPA Society Meeting
BD435 .W75 v.1,2008,Rethinking Philosophy Today: KPA Society Meeting
BD435 .W75 v.2,2008,Rethinking Philosophy Today: Abstracts vol. 2
BD435 .W75 v.2,2008,Rethinking Philosophy Today: Abstracts vol. 2
BD435 .W75 v.3,2008,Rethinking Philosophy Today: Abstracts vol. 3
BD435 .W75 v.3,2008,Rethinking Philosophy Today: Abstracts vol. 3
BD436 .B87,1972,Love
BD436 .B87,1972,Love
BD436 .B87,1972 P,Love
BD436 .N44 1996,1996,A Little Book on Love
BD436 .N44 1996,1996,A Little Book on Love
BD436 .P45 1991,1991,The Philosophy of (Erotic) Love
BD436 .P45 1991,1991,The Philosophy of (Erotic) Love
BD436 .P64,1974,The Secret of Staying in Love
BD436 .P64,1974,The Secret of Staying in Love
BD436 .S6 1988,1988,About Love
BD436 .S6 1988,1988,About Love
BD436 .W5,1962 H,The Metaphysics of Love
BD444 .B36,1973,The Denial of Death
BD444 .B36,1973,The Denial of Death
BD444 .M66 1984,1984,Dealing Creatively with Death
BD444 .M66 1984,1984,Dealing Creatively with Death
BD450 .B39 1971,1971,The Birth and Death of Meaning
BD450 .B39 1971,1971,The Birth and Death of Meaning
BD450 .B394,1975,Escape From Evil
BD450 .B394,1975,Escape From Evil
BD450 .B653 1971,1971 P,The Identity of Man
BD450 .B864 1966,1966 P,Nature and Judgement
BD450 .F723 1966,1966 P,The Case for Modern Man
BD450 .F78 1968,1968,The Nature of Man
BD450 .H49,1965,Who is Man?
BD450 .H49,1965,Who is Man?
BD450 .H49 1951,1951,Man is not Alone
BD450 .H49 1951,1951,Man is not Alone
BD450 .K368 1986,1986,From a Broken Web
BD450 .K368 1986,1986,From a Broken Web
BD450 .K368 1988,1988 P,"From a Broken Web: Separation, Sexism, and Self"
BD450 .K6387 1999,1999 P,"In Search of Myself: Life, Death, & Personal Identity"
BD450 .L24813,1974,Philosophical Anthropology
BD450 .L24813,1974,Philosophical Anthropology
BD450 .M27,1966,Reflections on Man
BD450 .M27,1966,Reflections on Man
BD450 .N37 1988,1988,A Sense of the Cosmos
BD450 .N37 1988,1988,A Sense of the Cosmos
BD450 .O37 1973,1973 P,Self and World: Readings in Philosophy
BD450 .P235 1999,1999,Visions of Human Nature: and Introduction
BD450 .P235 1999,1999,Visions of Human Nature: and Introduction
BD450 .P235 2000,2000,Visions of Human Nature
BD450 .P235 2000,2000,Visions of Human Nature
BD450 .S3932 1993,1993 H,"Self, Cosmos, God"
BD450 .S433,1968,Philosophy of Mind
BD450 .S433,1968,Philosophy of Mind
BD450 .S7 1998,1998,Ten Theories of Human Nature
BD450 .S7 1998,1998,Ten Theories of Human Nature
BD450 .S766,1974,Seven Theories of Human Nature
BD450 .S766,1974,Seven Theories of Human Nature
BD450 .S818,1981,The Study of Human Nature
BD450 .S818,1981,The Study of Human Nature
BD450 .S818 1981,1981,The Sudy of Human Nature
BD450 .S818 1981,1981,The Sudy of Human Nature
BD450 .T413,1964,The Future of Man
BD450 .T413,1964,The Future of Man
BD450 .W3 1966,1967,The Book: On the Taboo Against Knowing Who You Are
BD450 .W3 1966,1967,The Book: On the Taboo Against Knowing Who You Are
BD450 .W3 1972,1972,The Book: On the Taboo Against Knowing Who You Are
BD450 .W3 1972,1972,The Book: On the Taboo Against Knowing Who You Are
BD450.B653 1971,1971,The Identity of Man
BD450.B653 1971,1971,The Identity of Man
BD50 .P5775 1997,1997 H,Twelve Great Philosophers: An Historical Introduction to Human Nature
BD511 .L4,1947 H,Human Destiny
BD511 .W5,1957,Process and Reality
BD511 .W53 1974,1974 P,The Universe of Experience: A World View beyond Science and Religion
BD512 .T413,1965,The Phenomenon of Man
BD512 .T413,1965,The Phenomenon of Man
BD518 .D8 W5413,1982,The Theologian and His Universe
BD518 .D8 W5413,1982,The Theologian and His Universe
BD540.B4 1968,1968,The Structure of Evil
BD540.B4 1968,1968,The Structure of Evil
BD573 .H3,1953,Philosophers Speak of God
BD573 .H3,1953,Philosophers Speak of God
BD573 .H4,1958,Christianity and Paradox
BD573 .H4,1958,Christianity and Paradox
BD581 .A25 1996,1996,The Spell of the Sensuous
BD581 .A25 1996,1996,The Spell of the Sensuous
BD581 .R69 1992,1993 P,The Voice of the Earth: An Exploration of Ecopsychology
BD632 .R413,1958,The Philosophy of Space and Time
BD646 .W5 E8,1961,Essay on Atomism
BD646 .W5 E8,1961,Essay on Atomism
BD648 .B66 1966,1966 P,The Image: Knowledge in Life and Society
BD701 .G813 1972,1972 P,The Reign of Quantity & the Signs of the Times
BD95 .M3,1966 H,Perspectives on Reality: Reading in Metaphysics from Classical Philosophy to Existentialism
BF 1 .S68,1979,Spring 1979
BF 1 .S68 1960,1973,Spring 1960 1961 1962
BF 173 .A47,1967,The Individual Psychology of Alfred Adler
BF 173 .J85 C63,1959,Jung and St Paul
BF1027 .C3 P87,1971,The Edgar Cayce Primer
BF1078 .F84,1951 P,"The Forgotten Language: An Introduction to the Understanding of Dreams, Fairy Tales and Myths"
BF1078 .F84 1957,1957,The Forgotten Language
BF1078 .H63 1979,1979,The Dream and the Underworld
BF1078 .J65,1970,The New Psychology of Dreaming
BF1078 .J84 1974,1974,Dreams
BF1078 .V35 1994,1994,Our Dreaming Minds
BF1078 .Z44,1975,The Dream
BF109 .J8 A33,1963,"Memories, Dreams, Reflections"
BF109 .J8 A33,1963,"Memories, Dreams, Reflections"
BF121 .B8,1960,The Mind and Its Place in Nature
BF1389 .A7 M53,1978,Mind Beyond the Body
BF1411 .L54,1972,The Center of the Cyclone
BF1411 .M25,1970 O,"Man, Myth & Magic, Vol. I"
BF1411 .W35 1974,1974,Supernature
BF1463 .J313 1979,1979,Apparitions
BF149 .F7,1963,The Dogma of Christ
BF1566 .S77,1989,The Spiral Dance
BF161 .B48 1980,1980,Beyond Ego
BF161 .B69,1980,The Brain's Mind
BF161 .H5,1954 P,Man's Unconquerable Mind
BF161 .H5 1954a,1954 H,Man's Unconquerable Mind
BF161 .K4,1979,Somatic Reality
BF161 .O9,1949,The Mature Mind
BF161 .R9,1962,The Concept of Mind
BF171 .M55 2008,2008,Mind and Cognition
BF171 .M55 2008,2008,Mind and Cognition
BF173 .A2 P76 v.8 no.2,1971,Psychological Perspectives Vol. 8 No. 2 Fall 1977
BF173 .A2 P76 v9 n 1,1978,"Psychological Perspectives volume 9, Number 1 spring 1978"
BF173 .F35 1996,1996,Body and Mature Behavior
BF173 .F625,1938,The Basic Writings of Sigmund Freud
BF173 .F626 1950,1950,Freud: Dictionary of Psychoanalysis
BF173 .F7 1958,1958,A General Introduction to Psychoanalysis
BF173 .F7 1966,1966,Introductory Lectures on Psychoanalysis
BF173 .F76 1965,1965,"New Introductory Lecture on Psychoanalysis
"
BF173 .F85 S8 1966,1966,The Origins of Love and Hate
BF173 .F87,1955,Psychoanalysis and Religion
BF173 .H49,1975,Loose Ends
BF173 .J7253,1958,The Undiscovered Self
BF173 .J735,1971,Man and His Symbols
BF173 .J743 1971,1971,The Portable Jung
BF173 .J745,1958,Psyche and Symbol
BF173 .J85 J32 1973,1973,The Psychology of CG Jung
BF173 .J85 L4,1971,Lectures on Jung's Typology
BF173 .J85 S53,1973,Boundaries of the Soul
BF173 .M82,1955,Oedipus: Myth and Complex
BF173 .N43,1959,"Psychoanalysis, Scientific Method, and Philosophy"
BF173 .P46 1969,1969,"Ego, Hunger and Aggression"
BF173 .R35,1929,The Trauma of Birth
BF173 .W5448,1963,The Inner World of Choice
BF173.F682 1962,1962,Civilization and its Discontents
BF175 .E7,1959,Identity and the Life cycle
BF175 .E72,1964,Insight and Responsibility
BF175 .F79313 1986,1986,For The Love of Life
BF175 .H64,1959,Theology after Freud
BF175 .S24,1980,The Invisible Partners
BF175.5 .A72 P43,1989,The Hero Within
BF175.5 .M37 J64,1993,The Fisher King and the Handless Maiden
BF1809 .T47 1981,1981,Visions and Prophecies
BF181 .T45,1977,Phenomenology and the Science of Behaviour
BF21 .M66,1956,The Self: Explorations in Personal Growth
BF233 .A24,1991,A Natural History of the Senses
BF275 .M66 1977,1977,Touching: The Human Significance of the Skin
